image,x,y,width,height,label,label_id
9/27339.jpg,58.0,14.0,430.0,466.0,electronics,1
9/27339.jpg,107.0,25.0,400.0,314.0,billboard,2
9/27339.jpg,74.0,347.0,242.0,449.0,loss of service,3
9/27339.jpg,81.0,336.0,257.0,456.0,Dropped phone call,4
9/27339.jpg,37.0,8.0,354.0,425.0,Fallen,5
10/170489.png,124.0,251.0,372.0,463.0,irony/comedy,6
10/170489.png,392.0,468.0,140.0,139.0,entertainment,7
8/136368.jpg,81.0,45.0,417.0,346.0,active,8
8/136368.jpg,93.0,88.0,406.0,329.0,Computer Mouse Ball/ Fast,9
8/136368.jpg,171.0,109.0,355.0,237.0,soccer sports,10
8/136368.jpg,205.0,146.0,318.0,216.0,obsession,11
8/136368.jpg,214.0,145.0,294.0,205.0,sport,12
10/174042.png,35.0,36.0,500.0,337.0,excuses,13
10/174042.png,10.0,46.0,468.0,336.0,excuses,13
10/174042.png,152.0,341.0,348.0,491.0,Home/Awake,14
10/174042.png,62.0,76.0,453.0,294.0,Excuses,15
10/174042.png,4.0,5.0,499.0,403.0,hazard,16
10/171489.png,317.0,479.0,6.0,168.0,Promiscuity ,17
10/171489.png,93.0,355.0,230.0,474.0,sexual promiscuity ,18
10/171489.png,80.0,335.0,240.0,479.0,well traveled,19
10/171489.png,106.0,347.0,228.0,491.0,use condoms,20
10/173598.png,374.0,7.0,500.0,238.0,Strong/Warrior,21
10/173598.png,103.0,11.0,495.0,500.0,strength,22
10/173598.png,1.0,10.0,467.0,488.0,hard work,23
10/173598.png,147.0,3.0,488.0,495.0,strength/tennis,24
10/173598.png,150.0,9.0,494.0,243.0,determination/strength,25
6/65216.jpg,416.239990234375,336.93994140625,263.8599853515625,11.22998046875,Sexy,26
6/65216.jpg,272.0,24.0,478.0,408.0,lust/craving,27
6/65216.jpg,274.0,7.0,461.0,349.0,sexuality/sensuality,28
6/65216.jpg,449.0,21.0,188.0,354.0,sexuality,29
6/65216.jpg,441.0,38.0,268.0,411.0,sex,30
4/32694.jpg,404.0,388.0,404.0,388.0,Strength,31
4/32694.jpg,0.0,379.0,475.0,49.0,Acheivement,32
4/32694.jpg,178.0,421.0,330.0,500.0,advertisement ,33
4/32694.jpg,1.0,56.0,448.0,409.0,Progress/Adventure,34
4/32694.jpg,6.0,260.0,491.0,59.0,mountain climbing,35
1/161551.jpg,200.0,269.0,424.0,114.0,a dream,36
1/161551.jpg,100.0,447.0,446.0,105.0,goals,37
1/161551.jpg,435.0,286.0,141.0,85.0,house,38
1/161551.jpg,123.0,92.0,425.0,440.0,Dream,39
1/161551.jpg,219.0,113.0,417.0,266.0,dream,40
2/19752.jpg,409.0,309.0,104.0,67.0,Humor,41
2/19752.jpg,104.0,80.0,399.0,273.0,soothing,42
2/19752.jpg,55.0,220.0,199.0,353.0,Nature,43
2/19752.jpg,54.0,249.0,398.0,352.0,natural honey,44
2/19752.jpg,76.0,65.0,414.0,298.0,natural,45
10/171438.png,4.0,4.0,500.0,386.0,Rhythm,46
10/171438.png,36.0,29.0,470.0,453.0,modern,47
10/171438.png,80.0,135.0,437.0,228.0,pretty eyes,48
10/173529.png,6.0,0.0,189.0,400.0,Childhood/Nursery Rhymes,49
10/173529.png,181.0,9.0,491.0,291.0,Excitement/Peppiness,50
10/173529.png,189.0,19.0,488.0,250.0,Fun/Excitement,51
10/173529.png,2.0,22.0,200.0,261.0,distraction,52
9/42969.jpg,145.0,127.0,460.0,277.0,newborn/mother,53
9/42969.jpg,163.39999389648438,143.4794921875,478.5999755859375,293.080078125,Expectation,54
9/42969.jpg,155.0,124.0,468.0,284.0,clean,55
9/42969.jpg,253.0,85.0,457.0,328.0,mother/ baby/ life,56
9/42969.jpg,234.0,139.0,460.0,274.0,Stork/Baby delivery,57
7/32957.jpg,80.0,18.0,243.0,472.0,beauty,58
7/32957.jpg,35.0,27.0,267.0,462.0,confident / self-esteem,59
7/32957.jpg,48.0,3.0,251.0,315.0,confident/happy,60
7/32957.jpg,38.0,19.0,485.0,308.0,natural beauty,61
7/32957.jpg,254.0,129.0,450.0,278.0,opinion/difference/perspective ,62
10/172692.png,284.0,0.0,476.0,287.0,Friendship/Hangout,63
10/172692.png,82.0,0.0,187.0,133.0,Beauty/Edginess,64
10/173801.png,9.0,315.0,318.0,498.0,nuttiness,65
10/173801.png,33.0,17.0,500.0,164.0,Mystery/Romance,66
10/170962.png,12.0,127.0,499.0,461.0,endangered wildlife,67
10/170962.png,15.0,138.0,496.0,459.0,Nature,43
10/170962.png,12.0,372.0,88.0,243.0,death,68
