image,label
10/170489.png,entertainment
8/136368.jpg,active&sport
10/174042.png,home
10/173598.png,strong&strength&strength
6/65216.jpg,sexy&lust&sexuality&sexuality&sex
4/32694.jpg,strength
2/19752.jpg,humor&nature&natural
10/173529.png,childhood&excitement&fun
9/42969.jpg,clean
7/32957.jpg,beauty
10/172692.png,friendship&beauty
10/173801.png,mystery
10/170962.png,nature&death&nature
10/171932.png,halloween&halloween&halloween
7/41477.jpg,violence&abuse&abuse&abuse&abuse
0/128750.jpg,clean&cleanliness&cleanliness
3/12483.jpg,family&communication&communication&technology
0/127700.jpg,danger&dangerous&injury&harm
5/51425.jpg,beauty&color&beauty
4/1584.jpg,sex&birth
10/170470.png,fun
10/170241.png,protection
10/171452.png,candy
10/171043.png,desire&sex
10/173676.png,travel
10/170033.png,fashion
9/142539.jpg,music
1/84271.jpg,beauty&beauty&natural
10/175955.png,home&light&food&home
10/175963.png,danger&danger&fashion
10/171969.png,strong&strength&strength&strong
5/127945.jpg,danger
10/172969.png,environment&light
9/34939.jpg,harm
1/31701.jpg,support
6/52506.jpg,pollution&environment&nature
10/173353.png,natural&natural
0/87060.jpg,wealth
10/172746.png,fresh
6/71966.jpg,smoking&innocence&danger
7/38197.jpg,nature&exotic&fresh
10/173120.png,vacation&friendship
4/154724.jpg,sexual
10/173188.png,beauty
10/174815.png,fantasy
10/172907.png,freedom&fun&fun
10/173645.png,delicious
0/97320.jpg,celebration
10/172142.png,health&heart&health&health
10/175404.png,environment&environment&global warming
2/88472.jpg,strength&injury&pain
10/173376.png,quality&holiday
10/173762.png,desire&youth
9/46659.jpg,sexuality&sex&sexual&sexy
3/6773.jpg,sports
2/85672.jpg,automobile&messy
7/36927.jpg,water&health
4/119834.jpg,freshness&break
10/171186.png,freedom&freedom
7/123407.jpg,speed
1/24481.jpg,energy&athleticism&fun
5/127305.jpg,adventure&sharp
10/171930.png,confidence&innocence
8/106838.jpg,health&fitness&death
0/24680.jpg,contrast&safe
4/138864.jpg,speed&speed
10/171574.png,entertainment&party&quality&entertainment
1/104141.jpg,play&nature
5/46015.jpg,animal cruelty&death&animal abuse
10/173627.png,innovation&death
0/25280.jpg,vacation
10/174539.png,death&death&death&suicide&death
1/58221.jpg,creativity
10/170836.png,relax&home
3/10433.jpg,birth&odd
4/1454.jpg,speed
5/86535.jpg,childhood&innocence
0/165240.jpg,beauty&different
10/172755.png,delicious&delicious&hunger&delicious
2/99962.jpg,control&control&control
10/172766.png,coffee
8/135328.jpg,hunger&environment
10/174627.png,sex&sport
9/139159.jpg,fresh&nature&refreshing
10/172164.png,fun&game&excitement
3/1463.jpg,space
6/71926.jpg,peace&youth&happy
2/41252.jpg,abuse&violence&physical abuse&domestic violence
10/175691.png,thirst
10/177085.png,freedom&relaxation&outdoors
7/158737.jpg,glamour&sex
1/155151.jpg,relax&freedom
9/12019.jpg,growth&beer
1/163501.jpg,sex
10/174756.png,weight loss&weight loss&nutrition
8/139978.jpg,party
10/173730.png,smoking
10/170348.png,natural
10/174439.png,flight&flight&nature
10/170155.png,energy&future
10/173717.png,sports&adventure
10/172012.png,stylish&beauty&fashion
10/176673.png,sharing&sex appeal
1/165071.jpg,royalty&alcohol&exotic&art
10/170088.png,sexy&music&natural
10/172979.png,cool&cool&fun&fun
10/177922.png,animal cruelty&violence&death&nature
4/159674.jpg,sadness&confidence
10/170607.png,food&food&fun
10/172613.png,love&love
7/145637.jpg,diversity&nature
9/19369.jpg,speed
10/171892.png,healthy
10/170983.png,desire&seduction&lust
10/170691.png,abuse
10/171372.png,simplicity
0/100940.jpg,family
10/173960.png,nature&environment&environment
10/172139.png,heart&heart&heart&unhealthy
1/145541.jpg,sex&travel&easy
6/99266.jpg,healthy&healthy&fresh&natural
0/69850.jpg,cool
0/152040.jpg,desire&fun&choices&humor
10/176400.png,violence&environment
2/38692.jpg,clothing&work
1/36291.jpg,travel&imagination&travel&innovation
8/104148.jpg,unhealthy&safety&health
3/7003.jpg,fashion&size
2/31672.jpg,technology&innovation&choices&variety
1/145631.jpg,lust&environment
8/12758.jpg,fantasy&danger
10/177443.png,classic&food&art
10/173163.png,beauty&beauty
2/95492.jpg,food
0/103050.jpg,nature
6/10316.jpg,beer&beer&beer
0/134100.jpg,sex&sex
5/102895.jpg,environment
6/54756.jpg,art&art
4/44734.jpg,protection&protection
9/41479.jpg,diversity&culture
1/83221.jpg,future
7/41277.jpg,suicide&abuse&fear&abuse
10/173054.png,flavor&fresh&excitement
10/174398.png,natural
6/18186.jpg,abuse&harmful&abuse
8/39958.jpg,clean
10/173048.png,clean
5/138855.jpg,fast
10/170915.png,death&death&death&death
1/11281.jpg,freedom
4/127564.jpg,sex&sexy&sexual
10/170956.png,ice cream
10/172255.png,glamour&sex
10/171739.png,healthy&natural&freshness
10/175860.png,health&innocence&innocence&smoking
2/123562.jpg,strong
10/172767.png,coffee
10/172937.png,attraction
0/92170.jpg,love
6/103376.jpg,nature&pollution
10/172061.png,natural&fresh&natural&natural
5/103385.jpg,comfort&natural&nature
9/120809.jpg,surprise&surprise
9/18869.jpg,hunger&sharing&hunger
3/85783.jpg,family&comfort&adventure&adventure
10/172587.png,sexy&mystery&beauty
3/12233.jpg,odd&technology
2/68562.jpg,choices&sports&athletic&sports
6/10006.jpg,tasty&beer&beer
8/40158.jpg,sex
10/173809.png,hunger&hungry&beauty
6/102446.jpg,fun
3/11603.jpg,cool&cool
6/48986.jpg,precision
8/142568.jpg,time&time
4/67334.jpg,easy&simple
5/129555.jpg,music&excitement
6/41476.jpg,love&love&love
0/51280.jpg,wildlife&sexy&nature&beauty&sex
6/25206.jpg,fresh
2/11962.jpg,injury
0/106470.jpg,sports&athleticism
0/102580.jpg,family&protection
3/86313.jpg,healthy&hunger&natural
10/171122.png,purity
3/132653.jpg,fresh&fresh
2/158592.jpg,coolness
1/135041.jpg,death&family
1/118371.jpg,danger&accident
10/172630.png,fast&speed&speed&energy&speed
3/80753.jpg,class&classic
10/177280.png,love&love
10/175162.png,cold&coolness&cold&speed
8/152468.jpg,sexy&sex&sexuality&sexual
1/118031.jpg,strength&innovation
4/87604.jpg,sexy&sex
0/100580.jpg,protection&danger
10/172156.png,love&fresh
6/106696.jpg,childhood&youth&play
10/170107.png,environment
10/172198.png,danger&dangerous&thirst
10/171330.png,different&beauty
10/174723.png,innocence&sex&sex&sex
8/7488.jpg,unity
0/123780.jpg,party
10/170510.png,sexy&sex&sex
4/107954.jpg,elegance
4/139144.jpg,refreshing
6/82986.jpg,humor
10/177418.png,craving&flavor&change
9/87979.jpg,style
10/175935.png,freshness&pizza
10/177459.png,energy&energy&energy&excitement&power
10/174139.png,happiness&no symbol detected&happiness
10/177447.png,energy&happy
5/117865.jpg,fear
10/172362.png,clean&beauty&clean
10/176966.png,physical abuse&abuse&violence&abuse
0/127440.jpg,danger&danger&safety&freedom
10/171972.png,sadness
7/124147.jpg,exercise&strong&strength&fitness&exercise
7/93877.jpg,power&tough
4/23864.jpg,sex appeal
10/172210.png,adventure&rugged&rugged
4/135274.jpg,harmful&death&death&danger&death
5/135635.jpg,hungry&odd
3/4373.jpg,protection&shoes&shoes
